1,1,476.579,663.205,73.335,92.795,0.862735,-1,-1,-1
1,2,353.258,477.032,56.884,113.108,0.860333,-1,-1,-1
1,3,739.174,421.778,54.912,93.319,0.858149,-1,-1,-1
1,4,679.016,342.171,33.223,88.218,0.841305,-1,-1,-1
1,5,637.586,379.367,43.221,88.183,0.840970,-1,-1,-1
1,6,825.196,324.365,37.673,83.040,0.828861,-1,-1,-1
1,7,500.142,478.791,43.530,126.782,0.823665,-1,-1,-1
1,8,876.531,298.550,33.029,77.469,0.819140,-1,-1,-1
1,9,608.292,349.618,36.247,87.622,0.815679,-1,-1,-1
1,10,116.213,391.832,33.378,72.356,0.814708,-1,-1,-1
1,11,299.090,489.383,47.655,113.839,0.809649,-1,-1,-1
1,12,281.205,206.941,21.961,56.231,0.791514,-1,-1,-1
1,13,635.279,303.906,26.123,74.488,0.779026,-1,-1,-1
1,14,659.297,308.697,31.173,75.391,0.764278,-1,-1,-1
1,15,544.159,664.526,89.182,91.050,0.759105,-1,-1,-1
1,16,373.427,253.446,16.795,42.865,0.753399,-1,-1,-1
1,17,44.919,297.695,24.913,52.287,0.747894,-1,-1,-1
1,18,239.466,295.170,30.321,78.612,0.736443,-1,-1,-1
1,19,287.738,296.580,16.428,36.180,0.735888,-1,-1,-1
1,20,310.649,589.020,74.047,114.503,0.729217,-1,-1,-1
1,21,626.718,208.859,21.600,53.410,0.701917,-1,-1,-1
1,22,297.275,279.378,21.374,47.153,0.699941,-1,-1,-1
1,23,255.647,285.216,32.809,51.783,0.677453,-1,-1,-1
1,24,786.169,166.701,17.347,40.300,0.626161,-1,-1,-1
1,25,18.284,468.778,61.655,59.174,0.607393,-1,-1,-1
1,26,735.828,718.709,82.061,37.291,0.601682,-1,-1,-1
1,27,315.636,175.835,22.193,55.722,0.597967,-1,-1,-1
1,28,321.940,285.540,19.098,41.996,0.535000,-1,-1,-1
1,29,540.950,270.074,34.677,53.289,0.525367,-1,-1,-1
1,30,827.687,722.951,55.447,33.049,0.499181,-1,-1,-1
